face_id,node_ids,left_element_id,right_element_id,left_soil_id,right_soil_id,left_material_id,right_material_id
3419,7798 7799 7839 7838,6512,6863,8,6,mat_soil_008,mat_soil_006
3420,7438 7838 7839 7439,6512,6551,8,6,mat_soil_008,mat_soil_006
3423,7442 7842 7843 7443,6515,6554,6,8,mat_soil_006,mat_soil_008
3424,7403 7443 7843 7803,6515,6516,6,8,mat_soil_006,mat_soil_008
3425,7803 7804 7844 7843,6516,6867,8,6,mat_soil_008,mat_soil_006
3426,7804 7805 7845 7844,6517,6868,8,6,mat_soil_008,mat_soil_006
3427,7805 7806 7846 7845,6518,6869,8,6,mat_soil_008,mat_soil_006
3428,7806 7807 7847 7846,6519,6870,8,6,mat_soil_008,mat_soil_006
3429,7807 7808 7848 7847,6520,6871,8,6,mat_soil_008,mat_soil_006
3430,7808 7809 7849 7848,6521,6872,8,6,mat_soil_008,mat_soil_006
3431,7809 7810 7850 7849,6522,6873,8,6,mat_soil_008,mat_soil_006
3432,7810 7811 7851 7850,6523,6874,8,6,mat_soil_008,mat_soil_006
3433,7411 7451 7851 7811,6523,6524,8,6,mat_soil_008,mat_soil_006
3434,7422 7462 7862 7822,6534,6535,6,8,mat_soil_006,mat_soil_008
3435,7822 7823 7863 7862,6535,6886,8,6,mat_soil_008,mat_soil_006
3436,7462 7862 7863 7463,6535,6574,8,6,mat_soil_008,mat_soil_006
3437,7823 7824 7864 7863,6536,6887,8,6,mat_soil_008,mat_soil_006
3438,7463 7863 7864 7464,6536,6575,8,6,mat_soil_008,mat_soil_006
3439,7824 7825 7865 7864,6537,6888,8,6,mat_soil_008,mat_soil_006
3440,7825 7826 7866 7865,6538,6889,8,6,mat_soil_008,mat_soil_006
